Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.868319392,7.234964017,10.02650752,10.6347326,29.62016477,29.84760844,25.25815197,24.43048084,22.99644068,22.18661455,21.77412104,21.67232319,19.11734039,18.91098153,24.57904642,24.0798114,23.74024949,23.24594135,22.87650645,22.72835421,22.54824953,23.29484583,22.5786233,22.63446331,22.84723958,,,
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.374494942,6.618103743,7.152051802,7.58701547,8.011048,8.018180706,7.711485294,7.422144363,7.077746784,7.142904123,7.088127747,6.673217143,6.631021503,6.740724531,6.573271971,6.636720705,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.04722478,0.054880838,0.075411547,0.075778197,0.087957628,0.103269171,0.109384617,0.125558825,0.117027032,0.087836911,0.151798251,0.167425976,0.131634865,0.136979841,0.156257554,0.169446748,0.155191964,0.183427929,0.163630981,0.169006213,0.133543433,0.153029886,0.166305908,0.206086492,0.238811797,0.304391188,0.279035385,0.282405657,0.260374482,0.247511284,0.228187363,0.197712615,0.103278005,0.090615852,0.080079985,0.072146977,0.065114798,0.058606527,0.054167558,0.041647373,0.03792461,0.030232274,0.016185612,0.025222764,0.030534565,0.040857766,0.052219589,0.075568812,0.145284418,0.235439186,0.290025232,,,
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.110763457,0.089922099,0.229273121,0.219529973,0.229363772,0.218649754,0.281329043,0.176836322,0.292570982,0.479075885,0.60435331,0.563760846,0.729144619,0.771901471,0.752616584,0.665157493,0.48256144,0.505753303,0.753362682,0.743886369,0.700063807,0.668257008,0.567729329,0.602537921,0.570206356,0.518675818,0.500044847,0.608288737,0.523586875,0.498363916,0.428662945,0.409979248,0.401602489,0.510122619,0.331307492,0.909710423,0.842542029,0.577081314,0.556293635,0.677726241,0.685212349,0.676539905,0.850821552,0.587820499,1.176297818,1.157880358,1.300402531,1.419985486,1.452228381,1.470740834,1.555965628,,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.250400135,1.366995279,1.43337089,1.176402546,1.106761294,1.160181764,1.324883642,1.354797021,1.512896773,1.556845853,1.750381726,1.983392327,2.506757369,2.291647701,1.835436889,1.893499608,1.991126417,2.246321296,2.490190327,2.84097302,1.890637478,2.622518482,2.55187887,2.604134112,2.607307772,2.560286621,2.547699484,2.289399516,2.195957121,2.638975704,2.172402188,1.147870822,0.692577704,0.685695348,0.569926961,0.621385121,0.603658798,0.463422424,0.527093427,0.899635648,0.91426794,0.980891846,1.149450177,1.325577849,1.295229117,1.330897054,1.215577689,1.280927869,1.308062959,1.23118319,1.359638594,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.122768056,0.112568686,0.168560502,0.180976196,0.136409966,0.150347476,0.163611448,5.477712715,6.877070402,102.0307471,65.85518877,77.82293515,72.73974922,80.05888933,69.17813703,58.32183496,63.59976101,53.59998314,54.17661338,39.52833027,36.36556845,33.79331506,31.90240663,29.07942043,36.32262115,37.05874253,33.10262139,31.48472734,30.05756384,31.91871114,28.78999091,29.87986857,28.88091518,31.1060268,32.76244255,30.10737649,16.6177889,15.96252615,29.59704638,27.08511574,37.19403163,32.37904999,26.27321572,31.71079177,30.95141087,27.99513941,25.40691118,24.04628738,23.37750357,21.06703727,19.85379771,,,
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.36690791,2.441897538,2.521490949,2.315391061,2.537220943,2.640478793,2.791401982,2.857006896,2.968830479,3.27492315,3.450371941,3.649446425,3.637435664,3.730504081,3.726404423,3.641338047,3.767823051,3.748309654,3.760633872,3.996296759,3.866892922,3.57412152,3.567691946,3.574388311,3.564233178,3.315603881,3.383908473,3.677609396,3.830368585,3.639710775,3.451770266,3.538038326,3.62304486,3.492412111,3.585840171,3.518125971,3.664289062,3.773465207,3.812693347,3.984389596,3.822902416,3.55835158,3.275956616,3.506066026,4.076616381,4.164577003,4.468897615,4.587088109,4.790214372,4.488322189,4.47096499,,,
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174674163,0.859706565,0.901718662,1.083089242,0.821584566,1.044825239,1.094342744,0.988511937,1.126529454,1.157636701,0.998886775,1.129317807,1.204698359,1.446163526,1.459272353,1.694981274,1.865836235,1.466476807,1.424235767,,,
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.67061685,0.86044077,1.823373764,1.47017501,1.567094017,2.520359412,5.727991713,9.10806103,15.67193238,19.55900602,7.068212761,6.412192107,5.565568038,4.855381628,6.249202534,10.21949952,5.780430484,6.631858508,6.969109888,5.769237311,2.034295387,1.524630824,4.254677302,1.24107537,2.193739437,3.792832806,3.859701262,4.332193939,4.57363523,4.615779366,4.85726747,4.700378132,4.624649242,4.748535487,4.683621337,4.721298044,4.593864332,4.670561524,4.49690052,4.581278521,4.439238615,4.364812845,4.536211421,4.804484327,4.980995619,4.974311149,5.096289552,5.257378817,5.370596023,5.778818076,5.88515814,,,
